feature,suggested_side,family,source_family,lane,in_box15_control,new_mechanism_feature,rows,coverage,minimum,p01,median,p99,maximum,standard_deviation,adjacent_season_median_correlation,adjacent_transitions,adjacent_player_pairs,early_late_smd,early_late_univariate_auc,source_shift_flag,stable_redundancy_member,screen_status
wide_open_accuracy_eb,offense,shooting,same_season_empirical_bayes,retrospective_candidate,False,False,8620,1.0,0.3329510226659429,0.37022814928387554,0.42004337126288344,0.4829354103544955,0.5521167207099448,0.02162294854313328,0.869226518088152,8,6912,-0.2287537151313291,0.5736744322180722,False,False,eligible_for_fold_internal_screen
drive_turnovers_per_drive_eb,offense,creation_passing,same_season_empirical_bayes,retrospective_candidate,False,False,8620,1.0,0.03175016800588506,0.0506775990637218,0.06883819651500514,0.09238143090283168,0.11462308737112017,0.008078188599856774,0.856771594249332,8,6912,-0.21410279223480527,0.5731683662258333,False,False,eligible_for_fold_internal_screen
tight_fga_p100,offense,general_box_or_rate,gabriel_player_sheet_or_derived,retrospective_candidate,False,False,8620,1.0,0.0,0.0,5.383569518084146,13.633945737253649,100.0,3.63996812215777,0.9484623768952004,8,6912,0.1615318495947634,0.572250686312257,False,False,eligible_for_fold_internal_screen
at_rim_fga_p100,offense,rim_interior,gabriel_player_sheet_or_derived,retrospective_candidate,False,False,8620,1.0,0.0,0.0,4.366068166860327,12.427185021567254,33.33333333333333,2.956491083898627,0.9459444646806092,8,6912,-0.25590619709567514,0.5706777881709009,False,False,eligible_for_fold_internal_screen
rim_diff_pct_eb,defense,rim_interior,defensive_tracking,retrospective_candidate,False,False,8620,1.0,-11.268954395559888,-7.504758196700239,0.0,5.982716049382716,10.943881856540093,2.625598982475582,0.8982044737973389,8,6912,-0.2388699391588625,0.5705730127171413,False,False,eligible_for_fold_internal_screen
at_rim_frequency_eb,offense,rim_interior,same_season_empirical_bayes,retrospective_candidate,False,False,8620,1.0,0.07427704759928165,0.12313859696988355,0.2995580875284501,0.6554957014499321,0.8206343877015249,0.10804089730802637,0.9681572578462827,8,6912,-0.1965792307413278,0.5698963493820368,False,False,eligible_for_fold_internal_screen
FG2M_p100,both,shooting,gabriel_player_sheet_or_derived,retrospective_candidate,True,False,8620,1.0,0.0,0.0,4.427480916030534,11.428571428571429,23.076923076923077,2.7391161292607875,0.9447528250729875,8,6912,-0.24235922678534852,0.5672137839349554,False,False,eligible_for_fold_internal_screen
rim_points_saved_p100,defense,rim_interior,defensive_tracking,retrospective_candidate,False,False,8620,1.0,-1.9019480519480516,-0.6691126528179663,0.014660319056409708,1.7393762159583952,3.0506247561849427,0.4446305034211381,0.9099949942043651,8,6912,0.11908756102463854,0.5667554532650547,False,True,prune_within_fold
live_ball_turnovers_p100,offense,turnovers,gabriel_player_sheet_or_derived,retrospective_candidate,False,False,8620,1.0,0.0,0.0,1.1813435270493926,3.7051197999982506,16.666666666666664,0.8672425241622717,0.9087954064597115,8,6912,-0.23117800200382768,0.5647248576212801,False,False,eligible_for_fold_internal_screen
FG3M_p100,both,three_spacing,gabriel_player_sheet_or_derived,retrospective_candidate,True,False,8620,1.0,0.0,0.0,1.8876867262257968,5.769230769230769,100.0,1.8349468717097357,0.9524847806632843,8,6912,0.15117403732932733,0.5643698433670282,False,False,eligible_for_fold_internal_screen
passes_per_touch_eb,offense,creation_passing,same_season_empirical_bayes,retrospective_candidate,False,False,8620,1.0,0.5390844939367997,0.5908211229930536,0.7075393728133819,0.8002422995446862,0.8344981633341585,0.0414439819137716,0.9638366843747037,8,6912,-0.1830413820855948,0.5622841346232992,False,False,eligible_for_fold_internal_screen
