lam_off,lam_def,lam_home,lam_rb,lam_playoff,mean_rmse,std_rmse
500.0,6000.0,5000.0,2500.0,2500.0,1.1881691666092604,0.0010110819839096242
500.0,6000.0,500.0,250.0,250.0,1.1881693098078971,0.0010111597830776012
500.0,6000.0,50.0,250.0,250.0,1.1881693108291531,0.0010111306648694005
500.0,6000.0,50.0,2500.0,250.0,1.1881693128148776,0.0010111331992510755
500.0,6000.0,500.0,2500.0,250.0,1.18816931284099,0.0010111592744570554
500.0,6000.0,5000.0,250.0,250.0,1.1881693144519694,0.0010114281041112253
500.0,6000.0,5000.0,2500.0,250.0,1.1881693149642574,0.0010114265607305433
6000.0,1500.0,500.0,250.0,250.0,1.188200015230291,0.001006965417431055
6000.0,1500.0,50.0,250.0,250.0,1.188200015458987,0.0010069391608239877
6000.0,1500.0,500.0,2500.0,250.0,1.1882000176954406,0.0010069655821622987
6000.0,1500.0,50.0,2500.0,250.0,1.1882000181027024,0.0010069391331581775
6000.0,1500.0,5000.0,250.0,250.0,1.1882000192049034,0.0010072258151045013
6000.0,1500.0,5000.0,2500.0,250.0,1.1882000215034207,0.0010072256558331298
6000.0,1500.0,500.0,250.0,2500.0,1.1882002789943422,0.0010068177870115763
6000.0,1500.0,50.0,250.0,2500.0,1.188200279225833,0.0010067914440606727
6000.0,1500.0,500.0,2500.0,2500.0,1.1882002805499103,0.0010068187844457877
6000.0,1500.0,50.0,2500.0,2500.0,1.1882002811284593,0.0010067926639434745
6000.0,1500.0,5000.0,250.0,2500.0,1.1882002826835525,0.0010070777897393424
6000.0,1500.0,5000.0,2500.0,2500.0,1.1882002843256603,0.0010070788769302207
500.0,1500.0,5000.0,250.0,250.0,1.1882095309979916,0.0010273987966191295
500.0,1500.0,5000.0,2500.0,250.0,1.1882095333528813,0.0010273986892870366
500.0,1500.0,500.0,250.0,250.0,1.188209533837025,0.001027133633372929
500.0,1500.0,500.0,2500.0,250.0,1.1882095350117812,0.001027131999862837
500.0,1500.0,50.0,250.0,250.0,1.1882095350588695,0.0010271060396085418
500.0,1500.0,50.0,2500.0,250.0,1.188209536353422,0.0010271069286312848
500.0,1500.0,5000.0,250.0,2500.0,1.1882095675921485,0.0010271037011176096
500.0,1500.0,50.0,250.0,2500.0,1.1882095700132962,0.0010268099884736016
500.0,1500.0,500.0,250.0,2500.0,1.188209570472136,0.0010268383577023434
500.0,1500.0,5000.0,2500.0,2500.0,1.1882095722635213,0.0010271056799050753
500.0,1500.0,500.0,2500.0,2500.0,1.1882095723943036,0.0010268389504252378
500.0,1500.0,50.0,2500.0,2500.0,1.1882095727900386,0.0010268110609747275
1500.0,500.0,500.0,250.0,250.0,1.1882565101458422,0.0010336200934285774
1500.0,500.0,50.0,250.0,250.0,1.188256510583067,0.0010335940826318448
1500.0,500.0,500.0,2500.0,250.0,1.1882565113498516,0.001033620626415803
1500.0,500.0,5000.0,250.0,250.0,1.1882565113675247,0.0010338814725307558
1500.0,500.0,50.0,2500.0,250.0,1.188256512091477,0.0010335932117246569
1500.0,500.0,5000.0,2500.0,250.0,1.18825651383177,0.0010338816853345484
1500.0,500.0,50.0,250.0,2500.0,1.18825671776659,0.0010333667199465349
1500.0,500.0,500.0,250.0,2500.0,1.188256718242558,0.0010333929070902397
1500.0,500.0,5000.0,250.0,2500.0,1.1882567186504362,0.001033654187777152
1500.0,500.0,500.0,2500.0,2500.0,1.188256719227593,0.001033393362788987
1500.0,500.0,50.0,2500.0,2500.0,1.1882567202226026,0.0010333665746604132
1500.0,500.0,5000.0,2500.0,2500.0,1.1882567207763446,0.0010336549653239225
3000.0,500.0,500.0,250.0,250.0,1.1882598858042572,0.001028212586911409
3000.0,500.0,50.0,250.0,250.0,1.1882598861613622,0.001028186029167096
3000.0,500.0,500.0,2500.0,250.0,1.1882598873326224,0.0010282119664498208
3000.0,500.0,5000.0,250.0,250.0,1.1882598880525137,0.001028472805355093
3000.0,500.0,50.0,2500.0,250.0,1.1882598886693025,0.0010281863786620576
3000.0,500.0,5000.0,2500.0,250.0,1.1882598903881485,0.0010284729684061455
3000.0,500.0,500.0,250.0,2500.0,1.1882601543571374,0.0010280279165609688
3000.0,500.0,50.0,250.0,2500.0,1.1882601547875016,0.0010280015410886914
3000.0,500.0,50.0,2500.0,2500.0,1.1882601562069055,0.0010280011049833195
3000.0,500.0,5000.0,250.0,2500.0,1.1882601564023172,0.0010282880424506114
3000.0,500.0,500.0,2500.0,2500.0,1.1882601567148823,0.0010280279908930485
3000.0,500.0,5000.0,2500.0,2500.0,1.188260159493918,0.0010282884667845902
6000.0,500.0,500.0,250.0,250.0,1.188335577305516,0.001022751925813306
6000.0,500.0,50.0,250.0,250.0,1.1883355780736802,0.0010227260212470725
6000.0,500.0,500.0,2500.0,250.0,1.188335579559146,0.0010227521597098671
6000.0,500.0,50.0,2500.0,250.0,1.1883355800597837,0.0010227259243470838
6000.0,500.0,5000.0,250.0,250.0,1.1883355801593583,0.0010230113486848328
6000.0,500.0,5000.0,2500.0,250.0,1.1883355821575488,0.0010230110848439518
6000.0,500.0,500.0,250.0,2500.0,1.188335867261068,0.0010226175065014846
6000.0,500.0,50.0,250.0,2500.0,1.188335867590089,0.0010225910129965017
6000.0,500.0,500.0,2500.0,2500.0,1.1883358695800004,0.0010226174762916088
6000.0,500.0,5000.0,250.0,2500.0,1.1883358698653665,0.0010228765386494938
6000.0,500.0,50.0,2500.0,2500.0,1.1883358699662525,0.0010225908342674146
6000.0,500.0,5000.0,2500.0,2500.0,1.1883358724891495,0.001022876543353557
500.0,500.0,5000.0,250.0,250.0,1.1883460918322515,0.0010436150257714617
500.0,500.0,500.0,250.0,250.0,1.1883460927872003,0.001043351202219862
500.0,500.0,5000.0,2500.0,250.0,1.1883460937705836,0.0010436158107957295
500.0,500.0,50.0,250.0,250.0,1.1883460945014621,0.0010433230032881697
500.0,500.0,500.0,2500.0,250.0,1.1883460947062698,0.0010433506033801204
500.0,500.0,50.0,2500.0,250.0,1.1883460956408138,0.0010433236529083546
500.0,500.0,5000.0,250.0,2500.0,1.1883461979287828,0.0010433376986535069
500.0,500.0,500.0,250.0,2500.0,1.188346198553596,0.001043072080430959
500.0,500.0,5000.0,2500.0,2500.0,1.1883461996553712,0.001043336615899602
500.0,500.0,50.0,250.0,2500.0,1.18834619980918,0.0010430449804437296
500.0,500.0,500.0,2500.0,2500.0,1.1883462009906187,0.0010430717051604474
500.0,500.0,50.0,2500.0,2500.0,1.1883462017278699,0.0010430445938720192
