Name,PLAYER_ID,Poss_Off,Poss_Def,Off,Def,RAPM,Season,Season_Type,Prior_Mode,lambda_off,lambda_def,lambda_meta,lambda_season,Off_SE,Def_SE,RAPM_SE,Off_CI_lo,Off_CI_hi,Def_CI_lo,Def_CI_hi,RAPM_CI_lo,RAPM_CI_hi
Jordan Walsh,1641775,58,57,0.008,-0.081,0.089,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.39,0.924,1.003,-0.757,0.773,-1.893,1.731,-1.877,2.056
Leaky Black,1641778,65,64,0.014,-0.075,0.089,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.39,0.924,1.003,-0.751,0.779,-1.886,1.737,-1.878,2.055
Julius Randle,203944,604,608,-0.019,-0.106,0.087,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.389,0.911,0.991,-0.782,0.744,-1.892,1.681,-1.856,2.029
Joe Harris,203925,85,78,-0.007,-0.094,0.087,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.39,0.924,1.003,-0.772,0.758,-1.905,1.717,-1.879,2.053
Jalen Green,1630224,117,114,-0.002,-0.088,0.086,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.39,0.923,1.002,-0.767,0.763,-1.897,1.721,-1.878,2.05
Svi Mykhailiuk,1629004,96,88,0.025,-0.058,0.083,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.39,0.924,1.003,-0.74,0.79,-1.868,1.753,-1.882,2.048
Keon Ellis,1631165,210,208,-0.007,-0.09,0.082,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.39,0.921,1.0,-0.772,0.757,-1.894,1.715,-1.877,2.042
Wendell Carter Jr.,1628976,55,56,-0.009,-0.091,0.082,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.39,0.924,1.004,-0.774,0.756,-1.903,1.721,-1.884,2.049
Frank Ntilikina,1628373,143,142,-0.021,-0.101,0.08,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.39,0.922,1.001,-0.786,0.744,-1.908,1.707,-1.883,2.043
Nate Williams,1631466,50,49,-0.001,-0.081,0.08,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.39,0.925,1.004,-0.766,0.765,-1.893,1.731,-1.887,2.048
Amari Bailey,1641735,44,44,0.01,-0.069,0.079,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.39,0.925,1.004,-0.755,0.775,-1.881,1.744,-1.889,2.046
Dāvis Bertāns,202722,325,324,0.002,-0.077,0.079,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.39,0.918,0.997,-0.762,0.766,-1.875,1.721,-1.875,2.033
Bradley Beal,203078,192,198,0.017,-0.061,0.078,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.39,0.921,1.0,-0.748,0.782,-1.866,1.744,-1.882,2.038
Jusuf Nurkic,203994,140,145,0.022,-0.056,0.078,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.39,0.922,1.001,-0.743,0.787,-1.863,1.752,-1.885,2.04
David Duke Jr.,1630561,37,34,-0.003,-0.079,0.076,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.39,0.925,1.004,-0.768,0.762,-1.892,1.734,-1.892,2.044
Jarred Vanderbilt,1629020,802,810,-0.027,-0.104,0.076,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.389,0.906,0.986,-0.79,0.735,-1.88,1.673,-1.857,2.01
Chimezie Metu,1629002,102,102,-0.005,-0.076,0.071,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.39,0.923,1.002,-0.77,0.76,-1.885,1.734,-1.894,2.035
Nikola Jovic,1631107,201,199,-0.023,-0.093,0.07,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.39,0.921,1.0,-0.788,0.741,-1.898,1.712,-1.89,2.03
Gary Harris,203914,182,185,-0.021,-0.089,0.068,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.39,0.921,1.0,-0.786,0.744,-1.894,1.717,-1.893,2.029
Taurean Prince,1627752,508,511,-0.012,-0.081,0.068,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.389,0.913,0.992,-0.776,0.751,-1.87,1.708,-1.877,2.013
Jonathan Isaac,1628371,150,154,-0.021,-0.087,0.066,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.39,0.922,1.001,-0.785,0.744,-1.894,1.72,-1.896,2.028
Zach LaVine,203897,437,442,-0.049,-0.113,0.065,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.39,0.915,0.994,-0.812,0.715,-1.906,1.68,-1.884,2.014
Mitchell Robinson,1629011,685,680,-0.033,-0.098,0.064,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.389,0.91,0.989,-0.796,0.729,-1.881,1.685,-1.875,2.003
Jarrett Allen,1628386,595,598,-0.023,-0.087,0.064,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.389,0.911,0.991,-0.787,0.74,-1.873,1.699,-1.879,2.006
Chris Paul,101108,1409,1396,0.087,0.022,0.064,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.388,0.894,0.974,-0.674,0.847,-1.73,1.775,-1.846,1.974
Isaiah Joe,1630198,122,123,0.01,-0.052,0.062,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.39,0.923,1.002,-0.755,0.775,-1.861,1.756,-1.902,2.026
Kristaps Porzingis,204001,45,45,0.001,-0.061,0.062,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.39,0.925,1.004,-0.764,0.766,-1.874,1.751,-1.905,2.03
Boban Marjanovic,1626246,25,25,0.002,-0.059,0.061,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.39,0.925,1.004,-0.763,0.767,-1.872,1.755,-1.908,2.029
Evan Fournier,203095,73,74,-0.015,-0.074,0.059,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.39,0.924,1.003,-0.78,0.75,-1.885,1.737,-1.907,2.025
Chet Holmgren,1631096,68,65,0.011,-0.046,0.057,2022-23-24,playoff,zero,94868.3298050514,16870.239755710474,1687.0239755710475,17782.794100389234,0.39,0.924,1.003,-0.754,0.777,-1.857,1.766,-1.909,2.024
