Name,Off,Def,Rapm
Rasho Nesterovic,-0.33468113304901,-2.4078886681868203,2.07320753513781
Paul Reed,1.95553028077866,-0.11214740541514001,2.0676776861938
Lazaro Borrell,1.8386907484769601,-0.22771957916389,2.06641032764085
Trevor Ariza,0.21350216126543997,-1.8386170701036202,2.05211923136906
Theo Ratliff,-0.95350389366092,-3.0005304897041,2.04702659604318
Marcin Gortat,-0.56083306967253,-2.59533087260899,2.03449780293646
Chris Mills,-0.35825488678328,-2.38955884198679,2.03130395520351
Marko Jaric,1.28772744447958,-0.74309306675048,2.0308205112300604
Alperen Sengun,2.37669092662528,0.36402360243783,2.01266732418745
Goga Bitadze,1.6478497232816198,-0.34970386112534,1.9975535844069598
Cody Martin,1.6359224395884602,-0.35821111699356,1.9941335565820202
Joe Johnson,2.4149574822556903,0.42126253205654,1.9936949501991499
Scott Burrell,-0.90866677590754,-2.89700834066503,1.9883415647574902
Nicolas Batum,2.79147910356658,0.8101184223909701,1.9813606811756102
Patrick Ewing,-0.33213735512816,-2.3088322605669402,1.9766949054387801
Tristan Vukcevic,0.32134068972158003,-1.65273867079971,1.97407936052129
Channing Frye,2.01978350406772,0.04664535003335,1.97313815403437
Zydrunas Ilgauskas,0.34415620990138,-1.6226012182499998,1.9667574281513798
DeMar DeRozan,2.97323615512241,1.02046622850062,1.9527699266217897
Rondae Hollis-Jefferson,0.07592582554553,-1.87345360742031,1.9493794329658403
Daniel Theis,0.44099203679393,-1.50690442508626,1.94789646188019
David Nwaba,1.1017010707282,-0.8401699754785901,1.94187104620679
Brent Barry,2.3023539584079202,0.36374459989963004,1.93860935850829
Salah Mejri,-0.33231121180727,-2.2696024644725696,1.9372912526653
Hersey Hawkins,1.22643944556171,-0.70800102690314,1.93444047246485
Jameer Nelson,2.1385201996929,0.22072566978729,1.91779452990561
Raul Lopez,-0.68188512811651,-2.59434213738783,1.9124570092713202
Bobby Simmons,1.90083737671029,-0.008254180607379438,1.9090915573176694
Ime Udoka,-0.09161543610867,-1.99904038226905,1.9074249461603798
Jared Jeffries,0.09718374319049,-1.8092869102989,1.90647065348939
Matt Barnes,1.5784378802019199,-0.32764862306102,1.90608650326294
Luke Kennard,3.07577221522115,1.1715011217985598,1.9042710934225902
Bruce Bowen,-1.32340353437335,-3.21997176926722,1.8965682348938702
Derrick Dial,0.52916373990475,-1.36098356798614,1.8901473078908901
PJ Dozier,-0.2774768497767,-2.1641508730680803,1.88667402329138
Jerome Kersey,-1.31344231076158,-3.1919814429972595,1.87853913223568
Buddy Hield,3.0099769623612502,1.13483782352668,1.8751391388345702
Ausar Thompson,0.95709740289665,-0.9048121356678899,1.86190953856454
Deni Avdija,1.55244523330978,-0.30007180489019003,1.85251703819997
Stephen Jackson,1.73390010591538,-0.11131611652102,1.8452162224364002
Terrell Brandon,2.25994668420626,0.41704374437736,1.8429029398288999
Tayshaun Prince,0.0734867581868,-1.75955596739534,1.8330427255821398
Josh Harrellson,-1.45519812031892,-3.2868434734882697,1.8316453531693497
Keith Askins,0.44966241367488,-1.37372065935462,1.8233830730295002
Litterial Green,0.50250465766842,-1.32087039597239,1.8233750536408098
Luke Walton,0.9550351492692399,-0.8613173236690801,1.81635247293832
Mason Plumlee,1.7104290567508,-0.10374479348901,1.81417385023981
Jason Richardson,2.56771183043378,0.75969564045605,1.8080161899777298
Walt Williams,1.31771647633398,-0.49019808233487,1.80791455866885
Yogi Ferrell,0.88898065798642,-0.91175058305257,1.80073124103899
Tyrone Wallace,0.35040996914529,-1.44695679036112,1.79736675950641
Larry Nance Jr.,-0.7333144639664599,-2.52825485290907,1.79494038894261
Cameron Payne,1.3765881813204202,-0.41061251094845996,1.78720069226888
Richard Hamilton,1.77453916030959,-0.010780650239560001,1.78531981054915
Langston Galloway,0.7566019372355101,-1.0265921738741,1.7831941111096101
Carmelo Anthony,3.3501865974008402,1.57491923866146,1.7752673587393801
