Season,metric,value_column,weight_column,n_players,mean,median,p25,p75,weighted_mean,age_standardized_weighted_mean,weight_sum
2011,BRef BPM,BRef_BPM,BRef_MP,20,-2.575,-2.7,-3.8499999999999996,-0.875,-1.7031063021747699,-1.8302912209747928,27911.0
2012,BRef BPM,BRef_BPM,BRef_MP,20,-1.6750000000000003,-2.1,-2.6,-1.25,-1.3888062345023027,-1.408212560872834,25407.0
2013,BRef BPM,BRef_BPM,BRef_MP,20,-2.1599999999999997,-1.7999999999999998,-3.625,-0.95,-1.6356427614413653,-1.580519795893486,28362.0
2014,BRef BPM,BRef_BPM,BRef_MP,20,-3.575,-2.6500000000000004,-4.55,-2.35,-2.7774701365187715,-3.0847065223029966,23440.0
2015,BRef BPM,BRef_BPM,BRef_MP,20,-2.704999999999999,-2.8,-4.225,-1.125,-2.486905931836943,-2.6310289859999054,25439.0
2016,BRef BPM,BRef_BPM,BRef_MP,20,-1.7100000000000002,-2.05,-3.15,-0.625,-1.5131071213237757,-1.1472587184137713,29854.0
2017,BRef BPM,BRef_BPM,BRef_MP,20,-2.9299999999999993,-2.4,-3.95,-2.1500000000000004,-3.1178609086324665,-2.988355378027851,21813.0
2018,BRef BPM,BRef_BPM,BRef_MP,20,-1.5599999999999998,-0.8,-4.05,-0.2,-1.1255999773326155,-1.3846699865369336,35293.0
2019,BRef BPM,BRef_BPM,BRef_MP,20,-1.61,-1.6,-2.8000000000000003,-0.575,-1.4077594202898551,-1.5272927932036076,34500.0
2020,BRef BPM,BRef_BPM,BRef_MP,20,-2.8800000000000003,-3.45,-4.225,-1.6,-2.987196061482957,-3.024202711118108,26609.0
2021,BRef BPM,BRef_BPM,BRef_MP,19,-2.3578947368421046,-2.4,-3.65,-1.3,-2.2738730382517716,-1.5698050504275274,26953.0
2022,BRef BPM,BRef_BPM,BRef_MP,20,-2.3449999999999998,-2.1,-3.575,-0.975,-1.9529915917280785,-2.1893679586821326,30803.0
2023,BRef BPM,BRef_BPM,BRef_MP,20,-2.26,-2.1,-3.75,-0.8,-2.133105696104299,-2.022375404611688,32215.0
2024,BRef BPM,BRef_BPM,BRef_MP,20,-1.9650000000000003,-2.4000000000000004,-4.25,0.1,-1.470361578422266,-1.02620585068332,29067.0
1997,BRef DBPM,BRef_DBPM,BRef_MP,18,-0.8222222222222222,-0.8,-1.75,0.17500000000000002,-1.1397754830634435,-1.208300881336647,25566.0
1998,BRef DBPM,BRef_DBPM,BRef_MP,13,-0.5384615384615384,-0.7,-1.4,-0.2,-0.3443924191750278,-0.6920793651040625,22425.0
1999,BRef DBPM,BRef_DBPM,BRef_MP,14,-0.40714285714285714,-0.45,-0.85,0.17500000000000002,-0.3941361083581103,-0.23929172460141857,12108.0
2000,BRef DBPM,BRef_DBPM,BRef_MP,14,-0.5857142857142857,-0.7,-1.0,-0.25,-0.39516865594187867,-0.37866398468455775,19270.0
2001,BRef DBPM,BRef_DBPM,BRef_MP,15,-0.52,-0.8,-1.2000000000000002,0.7,-0.5317699859747546,-0.8746990239563651,17825.0
2002,BRef DBPM,BRef_DBPM,BRef_MP,20,-0.215,-0.35,-0.925,0.5,0.0025678186547751346,-0.01794471624667519,26910.0
2003,BRef DBPM,BRef_DBPM,BRef_MP,18,-0.6444444444444444,-0.6499999999999999,-1.175,-0.325,-0.3582337395968919,-0.4272351464435763,25353.0
2004,BRef DBPM,BRef_DBPM,BRef_MP,16,-0.4625,-0.35,-0.925,0.17500000000000002,-0.4411002982263381,-0.4365660929301306,25484.0
2005,BRef DBPM,BRef_DBPM,BRef_MP,20,-0.039999999999999945,-0.15000000000000002,-1.075,0.8500000000000001,-0.0015178212618627638,0.11776760918834565,32349.0
2006,BRef DBPM,BRef_DBPM,BRef_MP,20,-0.7849999999999999,-0.8500000000000001,-1.4249999999999998,-0.55,-0.6081852180282994,-0.8110724945066824,25937.0
2007,BRef DBPM,BRef_DBPM,BRef_MP,20,-0.07999999999999997,-0.3,-1.025,0.925,-0.18457692788401453,-0.16085716937299505,24003.0
2008,BRef DBPM,BRef_DBPM,BRef_MP,20,-0.225,-0.15,-1.1,0.39999999999999997,-0.2847714187669195,-0.37427251288779334,26227.0
2009,BRef DBPM,BRef_DBPM,BRef_MP,20,-0.7300000000000001,-0.8500000000000001,-1.4249999999999998,-0.05,-0.8159022598241121,-0.7788958719167065,35932.0
2010,BRef DBPM,BRef_DBPM,BRef_MP,20,-0.39,-0.45,-0.925,0.225,-0.4867627616007224,-0.5769556497546986,31011.0
2011,BRef DBPM,BRef_DBPM,BRef_MP,20,-0.45499999999999996,-0.55,-0.8500000000000001,-0.05,-0.3655261366486332,-0.36783916539954475,27911.0
