Season,value,series,series_type,z_score,cohort,combined_z_score
2017,1.481052436404288,Age-Adjusted RAPM,impact,-1.1210796864102903,Top 20 minutes,-1.0399549731870423
2018,3.3564051958421266,Age-Adjusted RAPM,impact,1.3159834289994197,Top 20 minutes,1.4295211971310546
2019,2.4358380671328392,Age-Adjusted RAPM,impact,0.11968572802259658,Top 20 minutes,0.21731268004801016
2020,2.1362322019040727,Age-Adjusted RAPM,impact,-0.26965883642527505,Top 20 minutes,-0.17721018555502432
2021,2.0596611841249035,Age-Adjusted RAPM,impact,-0.3691645972480723,Top 20 minutes,-0.27803937771156767
2022,1.5157406009345153,Age-Adjusted RAPM,impact,-1.076001635951548,Top 20 minutes,-0.9942773825213012
2023,1.8135402047553004,Age-Adjusted RAPM,impact,-0.6890043488529786,Top 20 minutes,-0.6021330131675336
2024,2.741803850656238,Age-Adjusted RAPM,impact,0.5172951494233081,Top 20 minutes,0.6202103255929645
1997,-1.9917666060429515,BRef BPM,impact,-0.2625438933244371,Top 20 minutes,-0.20692879970059883
1998,-0.6659311980561017,BRef BPM,impact,1.2510288731686374,Top 20 minutes,1.3137400922708151
1999,0.3233685187272978,BRef BPM,impact,2.3804127319813113,Top 20 minutes,2.448418872974767
2000,-0.8267386458651972,BRef BPM,impact,1.0674512041858237,Top 20 minutes,1.129301750974809
2001,-4.171722368880096,BRef BPM,impact,-2.7511798544049575,Top 20 minutes,-2.7072323022701568
2002,-1.1718345277906095,BRef BPM,impact,0.6734899888157224,Top 20 minutes,0.7334935162345435
2003,-2.0128084372081236,BRef BPM,impact,-0.28656523293936587,Top 20 minutes,-0.2310627592330095
2004,-1.6453487371109794,BRef BPM,impact,0.132926501479803,Top 20 minutes,0.19039569000190082
2005,-1.1348072688828221,BRef BPM,impact,0.7157602814652538,Top 20 minutes,0.7759619858777996
2006,-1.8363324545593582,BRef BPM,impact,-0.085100375636411,Top 20 minutes,-0.028653368612234744
2007,-1.6045188871170162,BRef BPM,impact,0.1795378294309065,Top 20 minutes,0.2372255471437874
2008,-2.515146724200341,BRef BPM,impact,-0.8600342670125182,Top 20 minutes,-0.8072204041967727
2009,-1.680720855681583,BRef BPM,impact,0.09254571587163918,Top 20 minutes,0.14982558602865212
2010,-0.9814511236972268,BRef BPM,impact,0.8908315486293431,Top 20 minutes,0.9518540445538337
2011,-1.8302912209747928,BRef BPM,impact,-0.07820370763785031,Top 20 minutes,-0.02172436677245832
2012,-1.408212560872834,BRef BPM,impact,0.40364099299375944,Top 20 minutes,0.4623793798280328
2013,-1.580519795893486,BRef BPM,impact,0.20693517504236003,Top 20 minutes,0.26475134049593513
2014,-3.0847065223029966,BRef BPM,impact,-1.5102433307502574,Top 20 minutes,-1.4604778612497056
2015,-2.6310289859999054,BRef BPM,impact,-0.9923253753377689,Top 20 minutes,-0.9401317366203464
2016,-1.1472587184137713,BRef BPM,impact,0.7015457154641666,Top 20 minutes,0.7616807773298875
2017,-2.988355378027851,BRef BPM,impact,-1.4002489324133323,Top 20 minutes,-1.3499677731026882
2018,-1.3846699865369336,BRef BPM,impact,0.43051717924832883,Top 20 minutes,0.48938157045732644
2019,-1.5272927932036076,BRef BPM,impact,0.26769908376597795,Top 20 minutes,0.3258001303500825
2020,-3.024202711118108,BRef BPM,impact,-1.4411722225819084,Top 20 minutes,-1.3910829250756331
2021,-1.5698050504275274,BRef BPM,impact,0.21916712090795196,Top 20 minutes,0.27704063373499205
2022,-2.1893679586821326,BRef BPM,impact,-0.48812545810628927,Top 20 minutes,-0.43356796483357324
2023,-2.022375404611688,BRef BPM,impact,-0.29748687617858877,Top 20 minutes,-0.24203560671729474
2024,-1.02620585068332,BRef BPM,impact,0.8397395838726927,Top 20 minutes,0.9005225439117113
1997,0.31750633152037744,BRef VORP,impact,0.13676690225359156,Top 20 minutes,0.1765982285352814
1998,0.9210455790568413,BRef VORP,impact,1.8496989442510465,Top 20 minutes,1.9204857589362276
