cohort,Rookie_Age_Bin,Season,series,value,n_players,weight_sum
All qualifying,20,2008,BRef BPM,-2.518376979293544,6,6568.0
All qualifying,20,2009,BRef BPM,-1.0133459089837304,11,16964.0
All qualifying,20,2010,BRef BPM,-0.2895945945945946,6,11840.0
All qualifying,20,2011,BRef BPM,-2.1681026979982594,4,6894.0
All qualifying,20,2012,BRef BPM,-0.8632674297606664,5,5766.0
All qualifying,20,2013,BRef BPM,-1.265857585139319,7,8075.0
All qualifying,20,2014,BRef BPM,-3.9786180631120787,2,1838.0
All qualifying,20,2015,BRef BPM,-3.1765110941086454,6,7842.0
All qualifying,20,2016,BRef BPM,-1.662413532209252,11,18504.0
All qualifying,20,2017,BRef BPM,-2.6148356990083608,6,5143.0
All qualifying,20,2018,BRef BPM,-1.4848486489413546,14,18467.0
All qualifying,20,2019,BRef BPM,-1.1319035708583896,10,18791.0
All qualifying,20,2020,BRef BPM,-2.6673996356097254,14,15917.0
All qualifying,20,2021,BRef BPM,-3.542367434386717,16,14936.0
All qualifying,20,2022,BRef BPM,-2.11590593141798,15,17264.0
All qualifying,20,2023,BRef BPM,-3.7560808709175735,15,16075.0
All qualifying,20,2024,BRef BPM,-2.19785477431143,13,14777.0
All qualifying,21,1997,BRef BPM,-2.0585429598170535,4,6122.0
All qualifying,21,1998,BRef BPM,-1.6881082062454609,3,5508.0
All qualifying,21,1999,BRef BPM,-0.12272454490898162,5,4999.0
All qualifying,21,2000,BRef BPM,0.30609903381642517,3,4968.0
All qualifying,21,2001,BRef BPM,-2.072286053882726,8,10096.0
All qualifying,21,2002,BRef BPM,0.3392172849571953,8,12265.0
All qualifying,21,2003,BRef BPM,-1.6538623481781378,4,6175.0
All qualifying,21,2004,BRef BPM,-2.25425658050747,4,4217.0
All qualifying,21,2005,BRef BPM,-0.9402068735402069,5,5994.0
All qualifying,21,2006,BRef BPM,0.9768248563524153,5,9398.0
All qualifying,21,2007,BRef BPM,-1.7133304051828264,8,9107.0
All qualifying,21,2008,BRef BPM,-3.3555820231856437,5,6297.0
All qualifying,21,2009,BRef BPM,-1.5494727935433477,10,15364.0
All qualifying,21,2010,BRef BPM,-2.0424993477693714,2,3833.0
All qualifying,21,2011,BRef BPM,-1.677902390929258,6,8114.0
All qualifying,21,2012,BRef BPM,-1.3132373028684963,8,8053.0
All qualifying,21,2013,BRef BPM,-2.433679966044142,9,9424.0
All qualifying,21,2014,BRef BPM,-3.5537979312506534,9,9571.0
All qualifying,21,2015,BRef BPM,-1.4799903334944418,8,10345.0
All qualifying,21,2016,BRef BPM,-0.35853452642242095,6,5923.0
All qualifying,21,2017,BRef BPM,-2.7160602470807245,6,5909.0
All qualifying,21,2018,BRef BPM,-0.10072704975473017,8,11416.0
All qualifying,21,2019,BRef BPM,-1.8660761736049603,8,9032.0
All qualifying,21,2020,BRef BPM,-3.5514732411304872,8,8315.0
All qualifying,21,2021,BRef BPM,-1.7745715974000393,6,5077.0
All qualifying,21,2022,BRef BPM,-2.550008947745168,13,11176.0
All qualifying,21,2023,BRef BPM,-1.8853708323882967,7,8818.0
All qualifying,21,2024,BRef BPM,-1.0905197179420214,5,7658.0
All qualifying,22,1997,BRef BPM,-2.5620721365076116,9,9787.0
All qualifying,22,1998,BRef BPM,-0.10718007370695122,9,15738.0
All qualifying,22,1999,BRef BPM,0.16410855499640561,7,5564.0
All qualifying,22,2000,BRef BPM,-1.8945855165927716,7,7443.0
All qualifying,22,2001,BRef BPM,-3.3798604563454653,5,5303.0
All qualifying,22,2002,BRef BPM,-1.8175678203928904,5,5345.0
All qualifying,22,2003,BRef BPM,-2.2060182697474473,9,11166.0
All qualifying,22,2004,BRef BPM,-2.296187223042836,7,10832.0
